,noisy_sin,noisy_sin_missing_values
0,0.0,0.0
1,0.09639487787213304,0.09639487787213304
2,0.2017691436808317,
3,0.27427499119297993,
4,0.4036386654686358,0.4036386654686358
5,0.49947206888436224,
6,0.5601097279590791,0.5601097279590791
7,0.6241065297665653,
8,0.6940223276361169,0.6940223276361169
9,0.7858503513621375,0.7858503513621375
10,0.8546258575838792,0.8546258575838792
11,0.861847750176582,0.861847750176582
12,0.9171671375764227,0.9171671375764227
13,0.9642410387933954,0.9642410387933954
14,0.9810280079884139,0.9810280079884139
15,0.9523878458185103,0.9523878458185103
16,0.9528142288919371,0.9528142288919371
17,0.9390093328142125,
18,0.9333995542645825,0.9333995542645825
19,0.9174170267864585,
20,0.883949488262713,0.883949488262713
21,0.7999060392725719,0.7999060392725719
22,0.7576308496834268,
23,0.686397116292604,0.686397116292604
24,0.6185237972155091,0.6185237972155091
25,0.540899142362135,0.540899142362135
26,0.45280128408557646,0.45280128408557646
27,0.36285249723089397,0.36285249723089397
28,0.2426129540126552,0.2426129540126552
29,0.12006279127643507,0.12006279127643507
30,0.00605539685073217,0.00605539685073217
31,-0.07947988823967365,-0.07947988823967365
32,-0.19272566822649306,-0.19272566822649306
33,-0.2803891154870073,-0.2803891154870073
34,-0.40453895865635553,-0.40453895865635553
35,-0.5255499540287868,
36,-0.5876265350310872,-0.5876265350310872
37,-0.6498678938498155,
38,-0.728803085395144,
39,-0.8082785782745834,
40,-0.8363397258155598,
41,-0.9441437991255083,
42,-1.015813547804895,-1.015813547804895
43,-1.0617796522029161,-1.0617796522029161
44,-1.126573693206498,-1.126573693206498
45,-1.1697367768134095,-1.1697367768134095
46,-1.1672221404563627,-1.1672221404563627
47,-1.1589058995746615,-1.1589058995746615
48,-1.1763973569665744,-1.1763973569665744
49,-1.169061018777534,-1.169061018777534
50,-1.1134657910227084,-1.1134657910227084
51,-1.049223201318988,
52,-1.0302674712415956,-1.0302674712415956
53,-0.9757930934616434,
54,-0.943126386615002,
55,-0.9079582343303035,-0.9079582343303035
56,-0.8550548070229417,
57,-0.7860505354695918,-0.7860505354695918
58,-0.7028207846495196,-0.7028207846495196
59,-0.6418121590105157,-0.6418121590105157
60,-0.5418892619754733,-0.5418892619754733
61,-0.44171296263288484,-0.44171296263288484
62,-0.3587620698228625,
63,-0.249680597687035,-0.249680597687035
64,-0.17256088526395014,-0.17256088526395014
65,-0.05927628426119119,
66,-0.000737317058839726,-0.000737317058839726
67,0.06781049533385564,0.06781049533385564
68,0.18011053668012422,
69,0.24507384241817232,0.24507384241817232
70,0.29961970846784086,
71,0.3785703313952833,0.3785703313952833
72,0.4603848113178232,0.4603848113178232
73,0.5344090599912974,0.5344090599912974
74,0.6333555797331805,0.6333555797331805
75,0.7142961708545608,0.7142961708545608
76,0.6998895528958358,0.6998895528958358
77,0.7509886972374824,0.7509886972374824
78,0.7647753880181045,0.7647753880181045
79,0.7814989798331671,0.7814989798331671
80,0.7628214190655969,0.7628214190655969
81,0.7463602506172871,0.7463602506172871
82,0.7157248323239294,0.7157248323239294
83,0.6797324802811224,0.6797324802811224
84,0.6278419533966196,0.6278419533966196
85,0.5417764399046794,
86,0.4867033072947482,0.4867033072947482
87,0.3987105941714881,0.3987105941714881
88,0.3369441594805258,0.3369441594805258
89,0.271180118233918,0.271180118233918
90,0.21319847803119352,0.21319847803119352
91,0.10997319879627543,0.10997319879627543
92,0.025800976186908797,0.025800976186908797
93,-0.07337691909131658,-0.07337691909131658
94,-0.18622993904662924,-0.18622993904662924
95,-0.303232384778503,-0.303232384778503
96,-0.3900853703069003,-0.3900853703069003
97,-0.49766489602385666,-0.49766489602385666
98,-0.5633788530277271,
99,-0.6709129934231197,-0.6709129934231197
100,-0.7813602624939153,-0.7813602624939153
101,-0.872320481991229,-0.872320481991229
102,-0.9323936796145186,-0.9323936796145186
103,-1.001244646699328,
104,-1.0400513066363652,-1.0400513066363652
105,-1.078611826249196,-1.078611826249196
106,-1.1240970456644932,-1.1240970456644932
107,-1.1696223295164363,-1.1696223295164363
108,-1.202625273728954,-1.202625273728954
109,-1.2026085150432866,-1.2026085150432866
110,-1.2167695026602172,
111,-1.2050128701831893,
112,-1.1736361477079684,-1.1736361477079684
113,-1.181122572449578,-1.181122572449578
114,-1.145773542285148,-1.145773542285148
115,-1.1063934997820213,
116,-1.022742273824707,-1.022742273824707
117,-0.9681608712865178,-0.9681608712865178
118,-0.8789320328789302,-0.8789320328789302
119,-0.7776556825176892,-0.7776556825176892
120,-0.6533479932060309,-0.6533479932060309
121,-0.5857190341835314,-0.5857190341835314
122,-0.4965344786176465,-0.4965344786176465
