,stockprice,stockprice_missing_closed_days
0,100.0,100.0
1,101.36483950424271,101.36483950424271
2,103.25992482602797,103.25992482602797
3,102.78581456345472,102.78581456345472
4,99.34737500194367,99.34737500194367
5,99.93964834817241,
6,100.9636591698339,
7,100.85382492453493,100.85382492453493
8,96.27891402878726,96.27891402878726
9,94.0033228128751,94.0033228128751
10,93.96264097879858,93.96264097879858
11,92.69623608181772,92.69623608181772
12,92.31826483533818,
13,90.99737206339967,
14,92.03747462717098,92.03747462717098
15,92.9390024292659,92.9390024292659
16,93.4758115233415,93.4758115233415
17,94.55116977415798,94.55116977415798
18,96.02476924118365,96.02476924118365
19,95.85409712397075,
20,96.44250404601567,
21,95.23078137072419,95.23078137072419
22,97.10747515129812,97.10747515129812
23,99.61765712967853,99.61765712967853
24,99.62276897993767,99.62276897993767
25,99.15579018523059,99.15579018523059
26,99.87518531602498,
27,101.17169967937008,
28,98.97710934568008,98.97710934568008
29,99.02375144925868,99.02375144925868
30,98.14253822703549,98.14253822703549
31,94.81043102025967,94.81043102025967
32,93.09811331124085,93.09811331124085
33,93.85410365415237,
34,94.79439755147047,
35,96.3102929246523,96.3102929246523
36,97.53277412080413,97.53277412080413
37,95.49305211089445,95.49305211089445
38,98.96552437501973,98.96552437501973
39,101.3010710619949,
40,100.66947600212386,
41,99.92105563228473,
42,100.99382606204843,100.99382606204843
43,105.90006375912739,105.90006375912739
44,105.63427531084612,105.63427531084612
45,107.76727404322763,107.76727404322763
46,110.99123960172679,110.99123960172679
47,112.37178101857094,
48,111.16303532672033,
49,109.98464011091724,109.98464011091724
50,108.42273097465326,108.42273097465326
51,108.89488859316697,108.89488859316697
52,109.1564020741818,109.1564020741818
53,111.5034142346891,111.5034142346891
54,112.63515950178882,
55,114.15000710486476,
56,116.56248483517334,116.56248483517334
57,116.60300480711257,116.60300480711257
58,115.17369010997041,115.17369010997041
59,115.27642894699193,115.27642894699193
60,115.269112678608,115.269112678608
61,117.1167237678137,
62,119.42854221832641,
63,124.74194709799589,124.74194709799589
64,127.94475416724342,127.94475416724342
65,128.57765503768545,128.57765503768545
66,127.4855404690662,127.4855404690662
67,128.5395362093899,128.5395362093899
68,130.09020752066866,
69,130.42796002235562,
70,131.3276428083757,131.3276428083757
71,130.96193265215086,130.96193265215086
72,127.18293390584296,127.18293390584296
73,123.91519045476028,123.91519045476028
74,122.18041929253704,122.18041929253704
75,122.78364824063246,
76,120.07304525362481,
77,119.9114828856531,119.9114828856531
78,120.18926781381126,120.18926781381126
79,118.03335451227181,118.03335451227181
80,119.3947826104667,119.3947826104667
81,119.89465148130591,119.89465148130591
82,117.90154474673066,
83,118.52443351468602,
84,115.29887035437021,115.29887035437021
