,stockprice,stockprice_missing_closed_days
0,100.0,100.0
1,100.79514088687385,100.79514088687385
2,101.16841858101392,101.16841858101392
3,103.92815639812983,103.92815639812983
4,104.68391881856587,104.68391881856587
5,104.48219569499703,
6,106.27516806014089,
7,107.12971841109452,107.12971841109452
8,106.83612452737626,106.83612452737626
9,108.46152089655745,108.46152089655745
10,108.29477397993348,108.29477397993348
11,110.47388161096605,110.47388161096605
12,108.39872774467223,
13,108.05844724136271,
14,108.31958909517286,108.31958909517286
15,110.5421199527998,110.5421199527998
16,106.20657550249344,106.20657550249344
17,104.06886601556108,104.06886601556108
18,107.61919418177122,107.61919418177122
19,106.79603986207715,
20,105.55946147700446,
21,105.45711464533527,105.45711464533527
22,107.12905396613108,107.12905396613108
23,107.89912176751588,107.89912176751588
24,107.63671115422152,107.63671115422152
25,105.68211596680534,105.68211596680534
26,106.1731555479447,
27,104.2175642650652,
28,103.21647064801975,103.21647064801975
29,102.53016837023532,102.53016837023532
30,103.94868436122363,103.94868436122363
31,103.86492321003425,103.86492321003425
32,102.82349757831159,102.82349757831159
33,102.76474171586966,
34,102.7476240305516,
35,105.42579367223178,105.42579367223178
36,105.58197068341377,105.58197068341377
37,108.3515149058492,108.3515149058492
38,108.01084327606483,108.01084327606483
39,110.27516892013827,110.27516892013827
40,109.55299959096693,
41,107.98288129014473,
42,110.07923451307948,110.07923451307948
43,112.72372806913683,112.72372806913683
44,111.01769370412806,111.01769370412806
45,110.19859143593848,110.19859143593848
46,110.53669912377696,110.53669912377696
47,112.35358498658962,
48,108.33754369301576,
49,106.95722660126891,106.95722660126891
50,106.55599029816803,106.55599029816803
51,105.17869795242534,105.17869795242534
52,102.98250606539736,102.98250606539736
53,103.05777164334147,103.05777164334147
54,101.94492210436823,
55,103.9486622878972,
56,103.5495317323133,103.5495317323133
57,103.3326931541215,103.3326931541215
58,104.15840266207354,104.15840266207354
59,103.1740796599993,103.1740796599993
60,102.37614889752346,102.37614889752346
61,101.71942033157238,
62,103.646776720062,
63,103.81144138017928,103.81144138017928
64,105.43801130609103,105.43801130609103
65,103.57264238868042,103.57264238868042
66,106.53073372234756,106.53073372234756
67,106.60166579868739,106.60166579868739
68,108.88891211902778,
69,107.29973252635534,
70,105.64342885999125,105.64342885999125
71,105.56183579047453,105.56183579047453
72,103.47101757995631,103.47101757995631
73,105.81534359471554,105.81534359471554
74,105.73143196327273,105.73143196327273
75,107.35497714079881,
76,107.54973773945964,
77,111.38282547884207,111.38282547884207
78,112.3253660645315,112.3253660645315
79,112.85145637842251,112.85145637842251
80,113.73924637947862,113.73924637947862
81,113.63022633891204,113.63022633891204
82,113.06858747124522,
83,108.06949741119234,
84,105.84122909966085,105.84122909966085
85,107.67394628005667,107.67394628005667
86,106.89973104616173,106.89973104616173
87,108.46109050150649,108.46109050150649
88,107.11923554964513,107.11923554964513
89,106.47508856840264,
90,103.50662486478018,
91,105.63306059782627,105.63306059782627
92,103.39251386148706,103.39251386148706
93,103.90875997182167,103.90875997182167
94,103.67628393713646,103.67628393713646
95,104.36490271502956,
96,100.87329450480955,
97,102.07253123646241,
98,103.37808273844529,103.37808273844529
99,101.37717485148963,101.37717485148963
100,102.91096879974381,102.91096879974381
101,102.69935938060229,102.69935938060229
102,102.33589486648435,102.33589486648435
103,102.37638392472692,
104,105.2886937691792,
105,107.57961909234986,107.57961909234986
106,111.2180902657339,111.2180902657339
107,114.27797039495329,114.27797039495329
108,115.89342889307133,115.89342889307133
109,116.2447896112695,116.2447896112695
110,114.09338385184988,
111,113.95641183668496,
112,114.57152283875777,114.57152283875777
113,111.67317169226546,111.67317169226546
114,107.47723542536463,107.47723542536463
115,107.32327831061843,107.32327831061843
116,108.78701636001347,
117,107.40195579236813,
118,104.90014324127308,
119,108.05182012279313,108.05182012279313
120,105.75414473899384,105.75414473899384
121,105.26150334227673,105.26150334227673
122,107.4566128541724,107.4566128541724
123,106.25740064464925,106.25740064464925
124,106.15294867100715,
125,103.25301120146881,
126,103.42602384641928,103.42602384641928
127,105.339537824489,105.339537824489
128,105.32732185076823,105.32732185076823
129,105.71976183293378,105.71976183293378
130,105.74429594931539,105.74429594931539
131,107.73652220459904,
132,107.49069195055654,
133,105.92612348828293,105.92612348828293
134,106.6523517319673,106.6523517319673
135,107.29342367644743,107.29342367644743
136,107.78233256312349,107.78233256312349
137,108.92879892593044,108.92879892593044
138,109.97482146181363,
139,108.98083167628386,
140,104.12733169664985,104.12733169664985
141,106.17341435530359,106.17341435530359
142,105.34186961695764,105.34186961695764
143,105.54731615603612,105.54731615603612
144,102.71218603307454,102.71218603307454
145,101.94378664397703,
146,99.82832873929017,
147,100.84337872408415,100.84337872408415
148,100.67245563711083,100.67245563711083
149,100.35451614225282,100.35451614225282
150,103.30932300317572,103.30932300317572
151,103.08020721903365,103.08020721903365
152,103.26188830201914,
153,101.12763578177871,
154,99.64885860654309,99.64885860654309
155,101.16433752081515,101.16433752081515
156,103.99674235616112,103.99674235616112
157,105.91058022238484,105.91058022238484
158,105.56017475786817,105.56017475786817
159,104.83297469578818,
160,105.85006513226772,
161,103.48007208572356,103.48007208572356
162,107.48139432006137,107.48139432006137
163,104.58465457312597,104.58465457312597
164,103.57453593474642,103.57453593474642
165,100.1184556341465,100.1184556341465
166,98.59749766569855,
167,97.55914432462454,
168,99.13280307290523,99.13280307290523
169,98.94931238176473,98.94931238176473
170,99.49795979971616,99.49795979971616
171,100.30777252609614,100.30777252609614
172,103.2387730601318,103.2387730601318
173,103.9831470138312,
174,107.50263118290073,
175,107.89429314135089,107.89429314135089
176,106.13551610202276,106.13551610202276
177,105.8317747881669,105.8317747881669
178,108.42114796026718,108.42114796026718
179,107.51532821504529,107.51532821504529
180,110.70463017641437,
181,112.2099674283713,
182,112.94089437595363,112.94089437595363
183,110.15848435065048,110.15848435065048
184,111.65563716804215,111.65563716804215
185,112.09826004852555,112.09826004852555
186,111.53258895945785,111.53258895945785
187,109.83608701530949,
188,112.28022385496263,
189,111.56535146007,111.56535146007
190,110.27118889241746,110.27118889241746
191,111.42769575439995,111.42769575439995
192,109.46781660868155,109.46781660868155
193,106.60826048367565,106.60826048367565
194,104.43402221704554,
195,104.78118064015476,
196,102.37304750156109,102.37304750156109
197,101.01225000889109,101.01225000889109
198,102.61832145036021,102.61832145036021
199,102.02552891290202,102.02552891290202
200,100.44190259593108,100.44190259593108
201,99.90846952024455,
202,99.68794428954003,
203,100.7241630913656,100.7241630913656
204,97.05962523948023,97.05962523948023
205,96.89597587811822,96.89597587811822
