,sinus,noisy_sin_missing_values
0,0.0,0.0
1,0.479425538604203,0.479425538604203
2,0.8414709848078965,
3,0.9974949866040544,
4,0.9092974268256817,0.9092974268256817
5,0.5984721441039564,0.5984721441039564
6,0.1411200080598672,0.1411200080598672
7,-0.35078322768961984,-0.35078322768961984
8,-0.7568024953079282,-0.7568024953079282
9,-0.977530117665097,
10,-0.9589242746631385,-0.9589242746631385
11,-0.7055403255703919,-0.7055403255703919
12,-0.27941549819892586,-0.27941549819892586
13,0.21511998808781552,0.21511998808781552
14,0.6569865987187891,0.6569865987187891
15,0.9379999767747389,
16,0.9893582466233818,
17,0.7984871126234903,0.7984871126234903
18,0.4121184852417566,
19,-0.0751511204618093,-0.0751511204618093
20,-0.5440211108893698,
21,-0.87969575997167,-0.87969575997167
22,-0.9999902065507035,-0.9999902065507035
23,-0.8754521746884285,-0.8754521746884285
24,-0.5365729180004349,-0.5365729180004349
25,-0.06632189735120068,-0.06632189735120068
26,0.4201670368266409,0.4201670368266409
27,0.803784426551621,0.803784426551621
28,0.9906073556948704,0.9906073556948704
29,0.934895055524683,
30,0.6502878401571168,0.6502878401571168
31,0.2064674819377966,0.2064674819377966
32,-0.2879033166650653,-0.2879033166650653
33,-0.711785342369123,-0.711785342369123
34,-0.9613974918795568,-0.9613974918795568
35,-0.9756260054681576,-0.9756260054681576
36,-0.7509872467716762,-0.7509872467716762
37,-0.34248061846961253,-0.34248061846961253
38,0.14987720966295234,0.14987720966295234
39,0.605539869719601,0.605539869719601
40,0.9129452507276277,
41,0.9968297942787993,0.9968297942787993
42,0.8366556385360561,0.8366556385360561
43,0.47163900309419615,0.47163900309419615
44,-0.008851309290403876,-0.008851309290403876
45,-0.4871745124605095,-0.4871745124605095
46,-0.8462204041751706,-0.8462204041751706
47,-0.9980820279793963,-0.9980820279793963
48,-0.9055783620066238,-0.9055783620066238
49,-0.5913575298651244,
50,-0.13235175009777303,-0.13235175009777303
51,0.3590583540221683,0.3590583540221683
52,0.7625584504796027,0.7625584504796027
53,0.979357643103917,0.979357643103917
54,0.956375928404503,
55,0.6992400316550977,0.6992400316550977
56,0.27090578830786904,0.27090578830786904
57,-0.22375564018679642,
58,-0.6636338842129675,-0.6636338842129675
59,-0.9410314083429535,-0.9410314083429535
60,-0.9880316240928618,-0.9880316240928618
61,-0.7931272394572851,-0.7931272394572851
62,-0.404037645323065,-0.404037645323065
63,0.08397445569174683,0.08397445569174683
64,0.5514266812416906,
65,0.8838704235458307,
66,0.9999118601072672,0.9999118601072672
67,0.8711400001691764,
68,0.5290826861200238,0.5290826861200238
69,0.057487478104924564,0.057487478104924564
70,-0.428182669496151,-0.428182669496151
71,-0.8090187662119065,
72,-0.9917788534431158,-0.9917788534431158
73,-0.9317168878547055,
74,-0.6435381333569995,-0.6435381333569995
75,-0.19779879963646227,-0.19779879963646227
76,0.2963685787093853,0.2963685787093853
77,0.7179745927716441,0.7179745927716441
78,0.9637953862840878,
79,0.9736454556949781,0.9736454556949781
80,0.7451131604793488,0.7451131604793488
81,0.33415117684842055,0.33415117684842055
82,-0.158622668804709,
83,-0.6125601529754698,-0.6125601529754698
84,-0.9165215479156338,-0.9165215479156338
85,-0.996086503119594,-0.996086503119594
86,-0.8317747426285983,-0.8317747426285983
87,-0.46381551598382736,
88,0.017701925105413577,0.017701925105413577
89,0.4948853175526281,
90,0.8509035245341184,
91,0.9985908724117705,0.9985908724117705
92,0.9017883476488092,
93,0.5841965844132856,0.5841965844132856
94,0.123573122745224,0.123573122745224
95,-0.36730534913419133,
96,-0.7682546613236668,-0.7682546613236668
97,-0.981108438603097,-0.981108438603097
98,-0.9537526527594719,-0.9537526527594719
99,-0.6928849542336957,
100,-0.26237485370392877,
101,0.23237376165548454,
102,0.6702291758433747,
103,0.9439891127251193,0.9439891127251193
104,0.9866275920404853,0.9866275920404853
105,0.7877052269841179,
106,0.39592515018183416,0.39592515018183416
107,-0.09279121175730869,-0.09279121175730869
108,-0.5587890488516163,-0.5587890488516163
109,-0.8879758383376634,-0.8879758383376634
110,-0.9997551733586199,-0.9997551733586199
111,-0.8667595742607592,-0.8667595742607592
112,-0.5215510020869119,-0.5215510020869119
113,-0.04864855487508726,-0.04864855487508726
114,0.43616475524782494,0.43616475524782494
115,0.8141897215084345,0.8141897215084345
116,0.9928726480845371,0.9928726480845371
117,0.9284657227653786,0.9284657227653786
118,0.6367380071391379,0.6367380071391379
119,0.18911462035089152,0.18911462035089152
120,-0.3048106211022167,-0.3048106211022167
121,-0.7241075918674496,-0.7241075918674496
122,-0.9661177700083929,
123,-0.9715886235161092,-0.9715886235161092
124,-0.7391806966492228,
125,-0.32579555541456173,-0.32579555541456173
126,0.16735570030280691,0.16735570030280691
127,0.6195324438519512,0.6195324438519512
128,0.9200260381967907,
129,0.9952651713612277,0.9952651713612277
130,0.8268286794901034,0.8268286794901034
131,0.45595569022148996,0.45595569022148996
132,-0.026551154023966794,-0.026551154023966794
133,-0.5025573497604873,-0.5025573497604873
134,-0.8555199789753223,-0.8555199789753223
135,-0.999021480034635,
