Date,Close,Close_ahead30,Close_ahead30_missing33
2017-03-31,35.915000915527344,38.92499923706055,38.92499923706055
2017-04-03,35.92499923706055,38.86750030517578,38.86750030517578
2017-04-04,36.192501068115234,37.5625,
2017-04-05,36.005001068115234,38.1349983215332,38.1349983215332
2017-04-06,35.915000915527344,38.26499938964844,38.26499938964844
2017-04-07,35.834999084472656,38.497501373291016,
2017-04-10,35.79249954223633,38.45000076293945,38.45000076293945
2017-04-11,35.407501220703125,38.334999084472656,38.334999084472656
2017-04-12,35.45000076293945,38.467498779296875,
2017-04-13,35.26250076293945,38.40250015258789,38.40250015258789
2017-04-17,35.45750045776367,38.41749954223633,38.41749954223633
2017-04-18,35.29999923706055,38.189998626708984,
2017-04-19,35.16999816894531,38.29499816894531,38.29499816894531
2017-04-20,35.61000061035156,38.86249923706055,38.86249923706055
2017-04-21,35.567501068115234,38.48249816894531,
2017-04-24,35.90999984741211,38.61249923706055,38.61249923706055
2017-04-25,36.13249969482422,38.842498779296875,38.842498779296875
2017-04-26,35.91999816894531,38.747501373291016,
2017-04-27,35.9474983215332,37.244998931884766,37.244998931884766
2017-04-28,35.912498474121094,36.35499954223633,36.35499954223633
2017-05-01,36.64500045776367,36.647499084472656,
2017-05-02,36.877498626708984,36.290000915527344,36.290000915527344
2017-05-03,36.76499938964844,36.0724983215332,36.0724983215332
2017-05-04,36.63249969482422,35.567501068115234,
2017-05-05,37.2400016784668,36.584999084472656,36.584999084472656
2017-05-08,38.252498626708984,36.252498626708984,36.252498626708984
2017-05-09,38.497501373291016,36.467498779296875,
2017-05-10,38.314998626708984,36.407501220703125,36.407501220703125
2017-05-11,38.48749923706055,36.56999969482422,36.56999969482422
2017-05-12,39.025001525878906,36.45500183105469,
2017-05-15,38.92499923706055,35.932498931884766,35.932498931884766
2017-05-16,38.86750030517578,36.45750045776367,36.45750045776367
2017-05-17,37.5625,35.91999816894531,
2017-05-18,38.1349983215332,36.005001068115234,36.005001068115234
2017-05-19,38.26499938964844,35.875,35.875
2017-05-22,38.497501373291016,36.022499084472656,
2017-05-23,38.45000076293945,35.682498931884766,35.682498931884766
2017-05-24,38.334999084472656,36.04499816894531,36.04499816894531
2017-05-25,38.467498779296875,36.26499938964844,
2017-05-26,38.40250015258789,36.38249969482422,36.38249969482422
2017-05-30,38.41749954223633,36.435001373291016,36.435001373291016
2017-05-31,38.189998626708984,36.942501068115234,
2017-06-01,38.29499816894531,37.2599983215332,37.2599983215332
2017-06-02,38.86249923706055,37.38999938964844,37.38999938964844
2017-06-05,38.48249816894531,37.52000045776367,
2017-06-06,38.61249923706055,37.755001068115234,37.755001068115234
2017-06-07,38.842498779296875,37.584999084472656,37.584999084472656
2017-06-08,38.747501373291016,37.567501068115234,
2017-06-09,37.244998931884766,38.022499084472656,38.022499084472656
2017-06-12,36.35499954223633,38.185001373291016,38.185001373291016
2017-06-13,36.647499084472656,38.3650016784668,
2017-06-14,36.290000915527344,37.63999938964844,37.63999938964844
2017-06-15,36.0724983215332,37.375,37.375
2017-06-16,35.567501068115234,37.182498931884766,
2017-06-19,36.584999084472656,37.51250076293945,37.51250076293945
2017-06-20,36.252498626708984,39.28499984741211,39.28499984741211
2017-06-21,36.467498779296875,38.89250183105469,
2017-06-22,36.407501220703125,39.09749984741211,39.09749984741211
2017-06-23,36.56999969482422,39.70249938964844,39.70249938964844
2017-06-26,36.45500183105469,40.02000045776367,
2017-06-27,35.932498931884766,40.26499938964844,40.26499938964844
2017-06-28,36.45750045776367,38.83000183105469,38.83000183105469
2017-06-29,35.91999816894531,39.369998931884766,
2017-06-30,36.005001068115234,39.962501525878906,39.962501525878906
2017-07-03,35.875,40.400001525878906,40.400001525878906
