Unnamed: 0,noisy_sin,noisy_sin_random_missing,noisy_sin_regular_missing,noisy_sin_random_missing_forwardfill,noisy_sin_random_missing_globalmean,noisy_sin_random_missing_meanlast30,noisy_sin_random_missing_linearfit30,noisy_sin_random_missing_cubicfit30,noisy_sin_regular_missing_forwardfill,noisy_sin_regular_missing_globalmean,noisy_sin_regular_missing_meanlast30,noisy_sin_regular_missing_linearfit30,noisy_sin_regular_missing_cubicfit30
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.08854157919942092,0.08854157919942092,0.08854157919942092,0.08854157919942092,0.08854157919942092,0.08854157919942092,0.08854157919942092,0.08854157919942092,0.08854157919942092,0.08854157919942092,0.08854157919942092,0.08854157919942092,0.08854157919942092
2,0.12387255946289875,0.12387255946289875,,0.12387255946289875,0.12387255946289875,0.12387255946289875,0.12387255946289875,0.12387255946289875,0.08854157919942092,0.04427078959971046,0.04427078959971046,0.1770831583988419,0.41319403626396434
3,0.1609383312453857,,0.1609383312453857,0.12387255946289875,0.07080471288743989,0.07080471288743989,0.19467727235033855,-0.02691119738329395,0.1609383312453857,0.1609383312453857,0.1609383312453857,0.1609383312453857,0.1609383312453857
4,0.18469695656983912,0.18469695656983912,0.18469695656983912,0.18469695656983912,0.18469695656983912,0.18469695656983912,0.18469695656983912,0.18469695656983912,0.18469695656983912,0.18469695656983912,0.18469695656983912,0.18469695656983912,0.18469695656983912
5,0.2539766024277057,0.2539766024277057,,0.2539766024277057,0.2539766024277057,0.2539766024277057,0.2539766024277057,0.2539766024277057,0.18469695656983912,0.09568953132287124,0.09568953132287124,0.2547892046383905,0.004639178763958474
6,0.2474536821541929,,0.2474536821541929,0.2539766024277057,0.12031540175788405,0.12031540175788405,0.3038762140487561,0.6262362196453424,0.2474536821541929,0.2474536821541929,0.2474536821541929,0.2474536821541929,0.2474536821541929
7,0.3362535986733723,0.3362535986733723,0.3362535986733723,0.3362535986733723,0.3362535986733723,0.3362535986733723,0.3362535986733723,0.3362535986733723,0.3362535986733723,0.3362535986733723,0.3362535986733723,0.3362535986733723,0.3362535986733723
8,0.3647028703521531,,,0.3362535986733723,0.1473076763723201,0.1473076763723201,0.3898857859526596,0.3679963996143014,0.3362535986733723,0.14473055859559908,0.14473055859559908,0.3636416604419251,0.8011525405683049
9,0.4178241388755256,0.4178241388755256,0.4178241388755256,0.4178241388755256,0.4178241388755256,0.4178241388755256,0.4178241388755256,0.4178241388755256,0.4178241388755256,0.4178241388755256,0.4178241388755256,0.4178241388755256,0.4178241388755256
10,0.4563640214176113,0.4563640214176113,0.4563640214176113,0.4563640214176113,0.4563640214176113,0.4563640214176113,0.4563640214176113,0.4563640214176113,0.4563640214176113,0.4563640214176113,0.4563640214176113,0.4563640214176113,0.4563640214176113
11,0.5343365601200817,0.5343365601200817,,0.5343365601200817,0.5343365601200817,0.5343365601200817,0.5343365601200817,0.5343365601200817,0.4563640214176113,0.19788756251395717,0.19788756251395717,0.4937085635483398,0.5814930836180663
12,0.5273834921481321,0.5273834921481321,0.5273834921481321,0.5273834921481321,0.5273834921481321,0.5273834921481321,0.5273834921481321,0.5273834921481321,0.5273834921481321,0.5273834921481321,0.5273834921481321,0.5273834921481321,0.5273834921481321
13,0.5602731505475352,0.5602731505475352,0.5602731505475352,0.5602731505475352,0.5602731505475352,0.5602731505475352,0.5602731505475352,0.5602731505475352,0.5602731505475352,0.5602731505475352,0.5602731505475352,0.5602731505475352,0.5602731505475352
14,0.5901868750376393,,,0.5602731505475352,0.2729964607471262,0.2729964607471262,0.6294676560457261,0.5283581039921298,0.5602731505475352,0.24730767091879668,0.24730767091879668,0.6116736868673068,0.5189239101470615
