Unnamed: 0,noisy_sin,noisy_sin_random_missing,noisy_sin_regular_missing,noisy_sin_regular_missing_forwardfill,noisy_sin_regular_missing_globalmean,noisy_sin_regular_missing_meanlast30,noisy_sin_regular_missing_linearfit30,noisy_sin_regular_missing_cubicfit30,noisy_sin_random_missing_forwardfill,noisy_sin_random_missing_globalmean,noisy_sin_random_missing_meanlast30,noisy_sin_random_missing_linearfit30,noisy_sin_random_missing_cubicfit30
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.04008522226151138,0.04008522226151138,0.04008522226151138,0.04008522226151138,0.04008522226151138,0.04008522226151138,0.04008522226151138,0.04008522226151138,0.04008522226151138,0.04008522226151138,0.04008522226151138,0.04008522226151138,0.04008522226151138
2,0.08860367953696605,0.08860367953696605,,0.04008522226151138,0.02004261113075569,0.02004261113075569,0.08017044452302279,0.18706437055371986,0.08860367953696605,0.08860367953696605,0.08860367953696605,0.08860367953696605,0.08860367953696605
3,0.08749450694313106,0.08749450694313106,0.08749450694313106,0.08749450694313106,0.08749450694313106,0.08749450694313106,0.08749450694313106,0.08749450694313106,0.08749450694313106,0.08749450694313106,0.08749450694313106,0.08749450694313106,0.08749450694313106
4,0.17566618967316416,0.17566618967316416,0.17566618967316416,0.17566618967316416,0.17566618967316416,0.17566618967316416,0.17566618967316416,0.17566618967316416,0.17566618967316416,0.17566618967316416,0.17566618967316416,0.17566618967316416,0.17566618967316416
5,0.18182415939725072,0.18182415939725072,,0.17566618967316416,0.06465770600171246,0.06465770600171246,0.19630577188855028,0.2556831800457099,0.18182415939725072,0.18182415939725072,0.18182415939725072,0.18182415939725072,0.18182415939725072
6,0.20995709063436435,,0.20995709063436435,0.20995709063436435,0.20995709063436435,0.20995709063436435,0.20995709063436435,0.20995709063436435,0.18182415939725072,0.09561229296867056,0.09561229296867056,0.22708774563140824,0.2169650190986131
7,0.2692732358955602,,0.2692732358955602,0.2692732358955602,0.2692732358955602,0.2692732358955602,0.2692732358955602,0.2692732358955602,0.18182415939725072,0.09561229296867056,0.09561229296867056,0.2646521606779047,0.23875095449872066
8,0.28623028582161963,0.28623028582161963,,0.2692732358955602,0.10839707031752492,0.10839707031752492,0.3022360036895453,0.306267092765771,0.28623028582161963,0.28623028582161963,0.28623028582161963,0.28623028582161963,0.28623028582161963
9,0.30666139821065264,0.30666139821065264,0.30666139821065264,0.30666139821065264,0.30666139821065264,0.30666139821065264,0.30666139821065264,0.30666139821065264,0.30666139821065264,0.30666139821065264,0.30666139821065264,0.30666139821065264,0.30666139821065264
